Model,Accuracy,F1_Score
CNN1,86.43976593017578,0.8485687971115112
CNN2,91.67562866210938,0.9092556238174438
FCN1,80.63536834716797,0.790412962436676
MobileNetV2_se,93.78073120117188,0.932679295539856
resnet_se_da,94.74492645263672,0.944400668144226
resnet18,94.23401641845705,0.9372676610946656
resnet18_se,94.8409652709961,0.9443577527999878
ResNetWithSEAndConvRNN,94.46066284179688,0.9403518438339232
