Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,1.3559253215789795,52.801780700683594,0.48981207609176636,0.4783215820789337,85.29118347167969,0.833687424659729
1,0.4314499497413635,87.18757629394531,0.8626638650894165,0.29568177461624146,91.01490783691406,0.9002182483673096
2,0.3099258840084076,91.04113006591797,0.904708981513977,0.25180211663246155,92.39013671875,0.9161383509635925
3,0.25788283348083496,92.67919921875,0.9226462244987488,0.23009023070335388,93.15841674804688,0.9249350428581238
4,0.21970875561237335,93.76441955566406,0.933797299861908,0.22143232822418213,93.51183319091797,0.929133415222168
5,0.19238759577274323,94.65989685058594,0.9438601136207581,0.21921244263648987,93.76536560058594,0.9315420389175415
6,0.16679500043392181,95.34651947021484,0.9512602686882019,0.22685326635837555,93.41963958740234,0.9287378787994385
7,0.14704972505569458,96.02359008789062,0.9583357572555542,0.22405706346035004,93.67317199707031,0.9306955933570862
8,0.13116753101348877,96.37986755371094,0.962023913860321,0.22669556736946106,93.71542358398438,0.9315035939216614
9,0.11195864528417587,96.99005126953125,0.9684818983078003,0.23425742983818054,93.82682800292969,0.9327402114868164
10,0.08475416898727417,97.74219512939453,0.97618168592453,0.2291461080312729,94.10340881347656,0.9355552196502686
11,0.0717146024107933,98.14897918701172,0.9808458685874939,0.24352936446666718,93.99201202392578,0.9341633319854736
12,0.06662553548812866,98.29231262207031,0.9822179675102234,0.2533457577228546,93.8153076171875,0.9327812790870667
13,0.05815374106168747,98.46157836914062,0.9839066863059998,0.2622615396976471,93.75384521484375,0.9322431683540344
14,0.052420053631067276,98.58306884765625,0.9852322936058044,0.26367202401161194,93.69622039794922,0.9315758943557739
15,0.04825085029006004,98.69091033935547,0.9864435195922852,0.27194899320602417,93.8498764038086,0.9332349896430969
16,0.04272598400712013,98.87110137939453,0.9882699847221375,0.2721272110939026,93.81914520263672,0.9329119920730591
17,0.039209574460983276,98.92706298828125,0.9887178540229797,0.2795525789260864,93.86524200439453,0.9329725503921509
18,0.038080234080553055,98.9516372680664,0.9890559315681458,0.2896689772605896,93.8383560180664,0.9335609078407288
19,0.03279148042201996,99.06220245361328,0.9902771711349487,0.29101839661598206,93.87677001953125,0.9333477020263672
20,0.026367146521806717,99.29290008544922,0.9925717711448669,0.2949846386909485,93.81146240234375,0.9326510429382324
21,0.02194748818874359,99.42394256591797,0.9939514398574829,0.298221617937088,93.83451080322266,0.932956337928772
22,0.020978894084692,99.42803955078125,0.9940402507781982,0.3049461543560028,93.76536560058594,0.9316492676734924
23,0.018385041505098343,99.50448608398438,0.9947862029075623,0.3069251775741577,93.79994201660156,0.9325028657913208
24,0.018113868311047554,99.529052734375,0.9951161742210388,0.3067857623100281,93.85372161865234,0.9333685040473938
25,0.01717570051550865,99.53451538085938,0.9951695203781128,0.31901711225509644,93.70005798339844,0.9316607117652893
26,0.016760673373937607,99.55226135253906,0.9952870607376099,0.31704992055892944,93.8498764038086,0.9330296516418457
27,0.015582346357405186,99.59048461914062,0.995713472366333,0.32242193818092346,93.84219360351562,0.9331032037734985
28,0.014712540432810783,99.61778259277344,0.9960914850234985,0.3161739408969879,93.95359802246094,0.9343173503875732
29,0.013344036415219307,99.65873718261719,0.9964854121208191,0.32139328122138977,93.78073120117188,0.932679295539856
