Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,1.9170591831207275,32.52112579345703,0.22964777052402496,1.0964778661727905,68.39659118652344,0.6457440257072449
1,0.7354258894920349,77.27862548828125,0.756970226764679,0.42486700415611267,86.89689636230469,0.8597549796104431
2,0.45899656414985657,86.27571105957031,0.8564582467079163,0.3392234742641449,89.7933349609375,0.8916590809822083
3,0.3813730478286743,88.8147201538086,0.8832332491874695,0.2874114215373993,91.7332534790039,0.9126731157302856
4,0.3407454490661621,90.1128921508789,0.896858274936676,0.27100473642349243,92.19038391113281,0.918188214302063
5,0.3132629692554474,91.12303161621094,0.9076163172721863,0.25845083594322205,92.60140991210938,0.9217334389686584
6,0.293163925409317,91.53254699707031,0.9120069146156311,0.23939815163612366,93.25445556640625,0.9281924962997437
7,0.27843019366264343,92.1645736694336,0.9186577200889587,0.22716917097568512,93.55792999267578,0.9313980937004089
8,0.26147404313087463,92.57545471191406,0.9229209423065186,0.2271467000246048,93.51183319091797,0.9312716126441956
9,0.25027117133140564,92.9112548828125,0.9263061285018921,0.2258613407611847,93.50798797607422,0.9309791922569275
10,0.23379258811473846,93.47229766845703,0.9317221641540527,0.213630810379982,94.00737762451172,0.9370631575584412
11,0.22586244344711304,93.7248306274414,0.9347187876701355,0.20826108753681183,94.05347442626953,0.9371245503425598
12,0.22317062318325043,93.79035186767578,0.9353957772254944,0.209252268075943,93.96896362304688,0.9362415671348572
13,0.21508601307868958,93.98555755615234,0.9376243352890015,0.20587478578090668,94.19944763183594,0.9382280111312866
14,0.2133222222328186,94.00330352783203,0.9377971887588501,0.20099420845508575,94.26859283447266,0.9391673803329468
15,0.20935218036174774,94.21897888183594,0.9398864507675171,0.20337575674057007,94.21481323242188,0.9389910697937012
16,0.20479820668697357,94.34866333007812,0.9413664937019348,0.20558862388134003,94.13798522949219,0.9386377334594727
17,0.20181123912334442,94.3841552734375,0.9415538907051086,0.20250509679317474,94.3300552368164,0.9401346445083618
18,0.19396193325519562,94.6325912475586,0.9441118240356445,0.20597240328788757,94.2839584350586,0.9399895071983337
19,0.19172273576259613,94.62713623046875,0.9443065524101257,0.19940215349197388,94.48755645751953,0.9414211511611938
20,0.1889570653438568,94.80731964111328,0.9462934732437134,0.19389738142490387,94.5298080444336,0.9421203136444092
21,0.18578685820102692,94.88240051269531,0.9469545483589172,0.19693928956985474,94.49139404296875,0.9416688084602356
22,0.18236851692199707,94.98204803466797,0.9479243159294128,0.19287294149398804,94.5298080444336,0.9422711133956909
23,0.17851461470127106,95.10626983642578,0.949033260345459,0.19514743983745575,94.50292205810547,0.9418482780456543
24,0.17868348956108093,95.01207733154297,0.9481028914451599,0.19543643295764923,94.5182876586914,0.9419572353363037
25,0.17775960266590118,95.09535217285156,0.9489206671714783,0.19149792194366455,94.67962646484375,0.9441058039665222
26,0.17578105628490448,95.2455062866211,0.9505003094673157,0.1962665170431137,94.48755645751953,0.9420921802520752
27,0.1744222193956375,95.24823760986328,0.9507612586021423,0.1885247677564621,94.77182006835938,0.9449357986450195
28,0.17015577852725983,95.25642395019531,0.9508615732192993,0.18999725580215454,94.69499206542969,0.9439903497695923
29,0.16759906709194183,95.39156341552734,0.952121913433075,0.190590038895607,94.74492645263672,0.9444006681442261
