Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,2.014566659927368,28.81226348876953,0.18198800086975098,1.3249683380126953,57.28718566894531,0.4881042540073395
1,0.9238681793212891,70.05883026123047,0.6691194772720337,0.44122329354286194,87.08512878417969,0.8573339581489563
2,0.44424715638160706,86.82310485839844,0.8593268990516663,0.2901246249675751,91.54886627197266,0.9062842726707458
3,0.3292161822319031,90.6316146850586,0.9002019166946411,0.24835450947284698,92.72817993164062,0.9195943474769592
4,0.2737120985984802,92.20006561279297,0.9168817400932312,0.22500325739383698,93.54640197753906,0.9285911917686462
5,0.23708710074424744,93.42042541503906,0.9301751255989075,0.2135915458202362,93.79994201660156,0.9320763945579529
6,0.21031111478805542,94.2135238647461,0.938681423664093,0.205890491604805,94.11109161376953,0.9353718161582947
7,0.1862630397081375,94.96976470947266,0.9470173716545105,0.20524637401103973,94.21096801757812,0.93657386302948
8,0.1694699078798294,95.41886901855469,0.9516340494155884,0.19843176007270813,94.44145965576172,0.9390674233436584
9,0.1503187119960785,96.00720977783203,0.9577361941337585,0.2021166980266571,94.35310363769531,0.9384198784828186
10,0.13084422051906586,96.61602020263672,0.9642072916030884,0.1988367736339569,94.39920043945312,0.9384164214134216
11,0.12202027440071106,96.78392791748047,0.9660142660140991,0.2012321650981903,94.53749084472656,0.9403997659683228
12,0.11392772942781448,97.12655639648438,0.9695928692817688,0.20240864157676697,94.46450805664062,0.939963161945343
13,0.1072506457567215,97.2930908203125,0.9714530110359192,0.20492590963840485,94.47602844238281,0.9397764801979065
14,0.09825335443019867,97.57429504394531,0.9743131995201111,0.20911258459091187,94.41456604003906,0.9392160773277283
15,0.09241203963756561,97.67394256591797,0.9754449725151062,0.2128969430923462,94.44914245605469,0.9394673109054565
16,0.08581718057394028,97.86368560791016,0.9776952266693115,0.21199622750282288,94.4068832397461,0.9394257068634033
17,0.08025877922773361,97.9797134399414,0.9786677956581116,0.2151620090007782,94.41841125488281,0.9392367005348206
18,0.07342121750116348,98.14488983154297,0.9803381562232971,0.2235342562198639,94.29932403564453,0.9376710057258606
19,0.06962622702121735,98.3086929321289,0.982318639755249,0.22297702729701996,94.37999725341797,0.9387379884719849
20,0.06199955940246582,98.57215118408203,0.9849443435668945,0.22562095522880554,94.42224884033203,0.9391980171203613
21,0.058627672493457794,98.56941986083984,0.9848728775978088,0.22764097154140472,94.34542083740234,0.938511073589325
22,0.057903438806533813,98.58716583251953,0.985264241695404,0.23264777660369873,94.35310363769531,0.9386076927185059
23,0.05464046448469162,98.71275329589844,0.9864006042480469,0.23066364228725433,94.36846923828125,0.9387237429618835
24,0.05225052312016487,98.79328918457031,0.9872433543205261,0.23106472194194794,94.3492660522461,0.9384629726409912
25,0.050030775368213654,98.80148315429688,0.9872972965240479,0.23393401503562927,94.4068832397461,0.9391413927078247
26,0.048055801540613174,98.89293670654297,0.9884608387947083,0.23691080510616302,94.30316162109375,0.9378827810287476
27,0.04541416093707085,98.93252563476562,0.9887588024139404,0.2415797859430313,94.24938201904297,0.9370852708816528
28,0.0430900938808918,98.97893524169922,0.9892426133155823,0.24366308748722076,94.23786163330078,0.9373540282249451
29,0.04278574883937836,99.02262115478516,0.9896697998046875,0.24423378705978394,94.23401641845703,0.9372676610946655
