Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,1.810272216796875,36.052528381347656,0.2613948583602905,0.8747730851173401,75.59158325195312,0.6853212118148804
1,0.5667381882667542,83.2261734008789,0.8163090944290161,0.30952635407447815,91.20313262939453,0.9025437235832214
2,0.3205772638320923,90.91963958740234,0.9037712216377258,0.23301130533218384,93.34664916992188,0.9273998737335205
3,0.255849152803421,92.87712860107422,0.9249005913734436,0.21022094786167145,94.1187744140625,0.935675323009491
4,0.2160865068435669,94.0565414428711,0.9371408224105835,0.1949230134487152,94.50292205810547,0.9398788213729858
5,0.18265187740325928,95.04484558105469,0.9476126432418823,0.19478839635849,94.49907684326172,0.9399412870407104
6,0.1560157686471939,95.81473541259766,0.9558594226837158,0.18992413580417633,94.80255126953125,0.9437379240989685
7,0.13505159318447113,96.4044418334961,0.9624210000038147,0.18697090446949005,94.90242767333984,0.9446651339530945
8,0.1137213259935379,96.96684265136719,0.9680905342102051,0.19115309417247772,94.81407165527344,0.9442806243896484
9,0.09561672061681747,97.50057983398438,0.9735835194587708,0.20028835535049438,94.66426086425781,0.9417872428894043
10,0.07031939923763275,98.14897918701172,0.9804924130439758,0.19591514766216278,94.94852447509766,0.9451241493225098
11,0.061154793947935104,98.46294403076172,0.9836309552192688,0.199535071849823,94.95620727539062,0.9453982710838318
12,0.05393299460411072,98.64859008789062,0.9854959845542908,0.20700491964817047,94.81023406982422,0.9439332485198975
13,0.04691016301512718,98.8096694946289,0.9872012734413147,0.2152886688709259,94.864013671875,0.9443244338035583
14,0.0421624593436718,98.9393539428711,0.9886630773544312,0.22144481539726257,94.6988296508789,0.9427444934844971
15,0.03698330000042915,99.06083679199219,0.9900099635124207,0.21872471272945404,94.9293212890625,0.9450457096099854
16,0.0331425815820694,99.18505859375,0.9913471937179565,0.2321394979953766,94.79102325439453,0.9433255791664124
17,0.028728686273097992,99.2956314086914,0.9925870299339294,0.2358529418706894,94.82943725585938,0.9438985586166382
18,0.027716200798749924,99.29972839355469,0.9924968481063843,0.24379278719425201,94.68346405029297,0.9420948624610901
19,0.023807965219020844,99.40892791748047,0.9936181902885437,0.23974402248859406,94.81023406982422,0.9436721801757812
20,0.019983574748039246,99.51130676269531,0.994740903377533,0.2435763031244278,94.87553405761719,0.9443555474281311
21,0.018405428156256676,99.55635833740234,0.9952929615974426,0.24427591264247894,94.89474487304688,0.9448754191398621
22,0.017255183309316635,99.57137298583984,0.9953890442848206,0.24807164072990417,94.91011047363281,0.9449983239173889
23,0.016020821407437325,99.60549926757812,0.995823860168457,0.24836863577365875,94.95620727539062,0.9453709721565247
24,0.015298288315534592,99.64781188964844,0.9962208271026611,0.2524702548980713,94.91011047363281,0.9446737766265869
25,0.014883145689964294,99.6710205078125,0.9965494871139526,0.2592545747756958,94.84864807128906,0.9442377686500549
26,0.014351660385727882,99.65873718261719,0.9963127374649048,0.2562234103679657,94.8409652709961,0.9442095756530762
27,0.013154704123735428,99.69696044921875,0.9967870712280273,0.25986379384994507,94.87169647216797,0.9446419477462769
28,0.01215563714504242,99.70787811279297,0.9968636631965637,0.26047343015670776,94.78334045410156,0.9437090754508972
29,0.012367994524538517,99.716064453125,0.9969897270202637,0.26188135147094727,94.8409652709961,0.9443577527999878
