Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,1.8950146436691284,33.51488494873047,0.22953473031520844,1.060729742050171,67.45928192138672,0.5855518579483032
1,0.8259879350662231,73.90283203125,0.7061221599578857,0.5326764583587646,84.21942138671875,0.8220556378364563
2,0.5093708038330078,84.58576965332031,0.8313528299331665,0.4234125018119812,87.50768280029297,0.8595259189605713
3,0.40569639205932617,87.69810485839844,0.8666161894798279,0.3736027777194977,88.81376647949219,0.8728178143501282
4,0.3475583791732788,89.6569595336914,0.888420045375824,0.35471269488334656,89.32467651367188,0.8812820911407471
5,0.30357271432876587,91.01655578613281,0.9035350680351257,0.3181937336921692,90.60771179199219,0.8959127068519592
6,0.2726840376853943,91.95025634765625,0.9138007164001465,0.30837923288345337,90.98417663574219,0.9005839228630066
7,0.2477155327796936,92.78839874267578,0.9229030609130859,0.3255890905857086,90.26582336425781,0.8929776549339294
8,0.2219986468553543,93.5705795288086,0.9313587546348572,0.29837000370025635,91.27996063232422,0.9052421450614929
9,0.2006370574235916,94.15755462646484,0.9374900460243225,0.2884770631790161,91.7332534790039,0.9090880155563354
10,0.16368287801742554,95.51578521728516,0.9520121216773987,0.2866375148296356,91.82160186767578,0.9101431369781494
11,0.14732319116592407,95.95533752441406,0.9571181535720825,0.28663817048072815,91.92916107177734,0.9121685028076172
12,0.1374131143093109,96.25155639648438,0.9602808356285095,0.2860705256462097,91.9560546875,0.9118494987487793
13,0.12900158762931824,96.4481201171875,0.9622002840042114,0.2951626479625702,91.77550506591797,0.9103752374649048
14,0.11876171082258224,96.79757690429688,0.9660890698432922,0.2936244308948517,92.02135467529297,0.9127628207206726
15,0.10993298888206482,96.9777603149414,0.9676934480667114,0.30828478932380676,91.56038665771484,0.9075081944465637
16,0.10110434889793396,97.28080749511719,0.9709998965263367,0.2976149618625641,91.97142028808594,0.9124636650085449
17,0.09566404670476913,97.4200439453125,0.972500741481781,0.31783005595207214,91.4336166381836,0.9065774083137512
18,0.08973614126443863,97.51969146728516,0.9735466837882996,0.3096408545970917,91.86386108398438,0.9115763902664185
19,0.07926337420940399,97.87733459472656,0.9772192239761353,0.3081763982772827,91.97525787353516,0.9126248359680176
20,0.06376194953918457,98.40151977539062,0.9829167723655701,0.3105114996433258,92.06361389160156,0.9135597944259644
21,0.05752341449260712,98.55713653564453,0.9844622611999512,0.3153421878814697,91.98678588867188,0.912959635257721
22,0.05493024364113808,98.65951538085938,0.9856935739517212,0.3217502236366272,91.89842987060547,0.9116862416267395
23,0.05161285772919655,98.7496109008789,0.9865487813949585,0.320458322763443,92.01751708984375,0.9134698510169983
24,0.0495222769677639,98.77008056640625,0.9867610335350037,0.32550883293151855,91.91764068603516,0.9120021462440491
25,0.04720211774110794,98.84925842285156,0.9878732562065125,0.32759231328964233,91.77550506591797,0.9103873372077942
26,0.04352850094437599,98.98712921142578,0.9892022609710693,0.33324530720710754,91.79855346679688,0.9104816317558289
27,0.04107706993818283,99.04173278808594,0.9896773099899292,0.335297554731369,91.81391906738281,0.9104040861129761
28,0.0389767587184906,99.09906005859375,0.990348219871521,0.34204497933387756,91.80239868164062,0.9107720255851746
29,0.03724071756005287,99.10042572021484,0.990410327911377,0.3426894545555115,91.67562866210938,0.9092556238174438
