Step,Average Training Loss per Epoch,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
0,2.254478693008423,18.193483352661133,0.043546225875616074,2.225487232208252,19.587430953979492,0.03275834396481514
1,2.238574504852295,18.921058654785156,0.031882524490356445,2.224033832550049,19.587430953979492,0.03275834396481514
2,2.236419439315796,18.9183292388916,0.0318923220038414,2.221996307373047,19.587430953979492,0.03275834396481514
3,2.2347426414489746,18.9183292388916,0.03183721378445625,2.2190425395965576,19.587430953979492,0.03275834396481514
4,2.2297098636627197,18.9265193939209,0.03194097802042961,2.2119407653808594,19.587430953979492,0.03275834396481514
5,2.2152950763702393,19.16130828857422,0.03582961857318878,2.1813809871673584,19.971572875976562,0.037687037140131
6,2.1363961696624756,23.614126205444336,0.07052166759967804,2.0289783477783203,28.19606590270996,0.08464442938566208
7,1.9692208766937256,30.87895965576172,0.1632673591375351,1.7942674160003662,37.45774459838867,0.21915531158447266
8,1.6655536890029907,44.5008659362793,0.3434058427810669,1.4042667150497437,58.197601318359375,0.4992660582065582
9,1.3037793636322021,58.17601013183594,0.5147337913513184,1.0188063383102417,69.59895324707031,0.6380661129951477
10,1.0603419542312622,66.8796157836914,0.6228681802749634,0.8877663612365723,74.35848236083984,0.7009642124176025
11,0.9447083473205566,70.9352035522461,0.6729395389556885,0.7897058725357056,77.38168334960938,0.7371129393577576
12,0.861337423324585,73.89464569091797,0.7087224125862122,0.7243472337722778,78.9989242553711,0.7584913969039917
13,0.794543981552124,75.79753112792969,0.732235312461853,0.678621768951416,80.67762756347656,0.7794724702835083
14,0.7436500191688538,77.51477813720703,0.7522323131561279,0.6465879082679749,81.40750122070312,0.7866160869598389
15,0.7010089159011841,78.84707641601562,0.7679447531700134,0.6153701543807983,82.32943725585938,0.798277735710144
16,0.6662535071372986,79.9131851196289,0.7794662714004517,0.588602602481842,83.51644134521484,0.8155529499053955
17,0.6359738111495972,80.98202514648438,0.7917161583900452,0.5674995183944702,83.51644134521484,0.8138411641120911
18,0.6118856072425842,81.56900024414062,0.7987109422683716,0.5449566841125488,84.3039321899414,0.823343813419342
19,0.5883568525314331,82.29656982421875,0.8070479035377502,0.5354653596878052,84.50753021240234,0.8252353072166443
20,0.5583512187004089,83.31080627441406,0.8182701468467712,0.5186095833778381,85.1836166381836,0.8332381844520569
21,0.5502575039863586,83.66299438476562,0.8222163319587708,0.5129384994506836,85.27197265625,0.8358263969421387
22,0.5440847277641296,83.76537322998047,0.8232935070991516,0.507828414440155,85.33343505859375,0.8357263207435608
23,0.532513439655304,83.99470520019531,0.8259294629096985,0.5021172761917114,85.45252227783203,0.8366567492485046
24,0.5232313275337219,84.4151382446289,0.8306931853294373,0.4930368959903717,85.93653869628906,0.8436324596405029
25,0.517980694770813,84.61034393310547,0.8330104947090149,0.48674359917640686,85.90965270996094,0.8423458337783813
26,0.5105241537094116,84.73866271972656,0.8340851068496704,0.49518269300460815,85.94806671142578,0.842627227306366
27,0.4996024966239929,85.21096801757812,0.8389739990234375,0.4827331006526947,86.06330871582031,0.8439827561378479
28,0.4959421753883362,85.201416015625,0.8396312594413757,0.4731604754924774,86.43976593017578,0.8485472202301025
29,0.4894951581954956,85.4334716796875,0.841891348361969,0.4748849868774414,86.43976593017578,0.8485687971115112
